promesse_id,sentence_id,date,category,source,sentence,language
1,1,1,Culture,Couillard,"Introduce a refundable tax credit of 20% for physical activities, arts and culture, up to $ 200 for seniors over 60 years old.",en
1,1,1,Culture,Couillard,"Introduire un crédit d’impôt remboursable de 20 % pour les activités physiques, artistiques et culturelles, jusqu’à concurrence de 200 $, destiné aux personnes âgées de plus de 60 ans.",fr
2,1,1,Culture,Couillard,All the foreign missions of a Liberal government will include a cultural component.,en
2,1,1,Culture,Couillard,Toutes les missions à l’étranger d’un gouvernement libéral comprendront un volet culturel.,fr
3,1,1,Civil Rights,Couillard,"Together with the AMF, establish a program comply or explain , so that the listed companies traded equip themselves with a plan for the equitable representation of women.",en
3,1,1,Civil Rights,Couillard,"De concert avec l’Autorité des marchés financiers, instaurer un programme appliquer ou expliquer, de façon à ce que les entreprises inscrites en bourse se dotent d'un plan pour une représentation féminine équitable.",fr
4,1,1,Civil Rights,Couillard,Specific activities promoting female entrepreneurship will be developed with the help of the Federation of Chambers of Commerce of Quebec (FCCQ) and the network of the Quebec Business Women (RFAQ).,en
4,1,1,Civil Rights,Couillard,Des activités de promotion spécifiques à l’entrepreneuriat féminin seront développées avec l’aide de la Fédération des chambres de commerce du Québec (FCCQ) et le réseau des Femmes d’affaires du Québec (RFAQ).,fr
5,1,1,Civil Rights,Couillard,Emphasize the importance that information on non-traditional occupations is available and accessible to girls at orientation meetings in high school.,en
5,1,1,Civil Rights,Couillard,Insister sur l’importance que l’information relative aux métiers non traditionnels soit offerte et accessible aux jeunes filles lors des rencontres d’orientation au secondaire.,fr
6,1,1,Transportation,Couillard,"In order to improve the ferry services offered in Quebec, increase funding to partner companies of the Société des transports.",en
6,1,1,Transportation,Couillard,"Dans le but d’améliorer l’offre de services des traversiers au Québec, augmenter le financement aux entreprises partenaires de la Société des transports.",fr
7,1,1,Macroeconomics,Couillard,"When negotiating the next fiscal and financial partnership with the municipalities, a Liberal government will introduce the sharing of royalties related to mineral resources, oil and gas.",en
7,1,1,Macroeconomics,Couillard,"Lors de la négociation de la prochaine entente de partenariat fiscal et financier avec les municipalités, un gouvernement libéral introduira un partage des redevances liées aux ressources minières, pétrolières et gazières.",fr
8,1,1,Transportation,Couillard,Accelerate the Turcot interchange project.,en
8,1,1,Transportation,Couillard,Accélérer le projet de l’échangeur Turcot.,fr
9,1,1,Domestic Commerce,Couillard,Adopt the single business account and one-stop access to government services.,en
9,1,1,Domestic Commerce,Couillard,Adopter le dossier et le guichet uniques des entreprises.,fr
10,1,1,Transportation,Couillard,"Improve the supply of ferry services, including recognizing the intermediate ferry services.",en
10,1,1,Transportation,Couillard,"Améliorer l’offre des services de traversiers, notamment en reconnaissant les services de traverse intermédiaires.",fr
11,1,1,Domestic Commerce,Couillard,Improve the new forest regime by reviewing the rules regarding work planning and operation of the Wood Marketing Bureau.,en
11,1,1,Domestic Commerce,Couillard,Améliorer le nouveau régime forestier en revoyant les règles entourant la planification des travaux et le fonctionnement du Bureau de mise en marché des bois.,fr
12,1,1,Transportation,Couillard,"Supportthe upgrading of the Port of Montreal, including the construction of a direct link between the port facilities and Highway 25.",en
12,1,1,Transportation,Couillard,"Appuyer la modernisation du port de Montréal, notamment par la construction d’un lien direct entre les installations portuaires et l’autoroute 25.",fr
13,1,1,Transportation,Couillard,"Support the development of cruise activities, both in terms of reception facilities and port infrastructure.",en
13,1,1,Transportation,Couillard,"Appuyer le développement des activités de croisière, autant au chapitre des infrastructures d’accueil que des infrastructures portuaires.",fr
14,1,1,Transportation,Couillard,Complete the East and West train projects.,en
14,1,1,Transportation,Couillard,Compléter les projets du train de l’Ouest et de l’Est.,fr
15,1,1,Labor,Couillard,"Create 250,000 jobs over a period of 5 years.",en
15,1,1,Labor,Couillard,Créer 250 000 emplois sur un mandat de 5 ans.,fr
16,1,1,Macroeconomics,Couillard,"In the first 100 days, restore the budgets of Quebec Infrastructure Plan, that is to say $ 1.5 billion a year more in infrastructure over the next 10 years.",en
16,1,1,Macroeconomics,Couillard,"Dans les 100 premiers jours, rétablir les budgets du Plan québécois des infrastructures, c'est-à-dire 1,5 milliard de dollars par année de plus dans nos infrastructures au cours des 10 prochaines années.",fr
17,1,1,Transportation,Couillard,Deploy the first maritime strategy in our history.,en
17,1,1,Transportation,Couillard,Déployer la première stratégie maritime de notre histoire.,fr
18,1,1,Macroeconomics,Couillard,1.3 billion dollars of budget cuts will be made during the first two years of office.,en
