text,language,label
"Introduce a refundable tax credit of 20% for physical activities, arts and culture, up to $ 200 for seniors over 60 years old.",en,0
"Introduire un crédit d’impôt remboursable de 20 % pour les activités physiques, artistiques et culturelles, jusqu’à concurrence de 200 $, destiné aux personnes âgées de plus de 60 ans.",fr,0
All the foreign missions of a Liberal government will include a cultural component.,en,0
Toutes les missions à l’étranger d’un gouvernement libéral comprendront un volet culturel.,fr,0
"Together with the AMF, establish a program comply or explain , so that the listed companies traded equip themselves with a plan for the equitable representation of women.",en,0
"De concert avec l’Autorité des marchés financiers, instaurer un programme appliquer ou expliquer, de façon à ce que les entreprises inscrites en bourse se dotent d'un plan pour une représentation féminine équitable.",fr,0
Specific activities promoting female entrepreneurship will be developed with the help of the Federation of Chambers of Commerce of Quebec (FCCQ) and the network of the Quebec Business Women (RFAQ).,en,0
Des activités de promotion spécifiques à l’entrepreneuriat féminin seront développées avec l’aide de la Fédération des chambres de commerce du Québec (FCCQ) et le réseau des Femmes d’affaires du Québec (RFAQ).,fr,0
Emphasize the importance that information on non-traditional occupations is available and accessible to girls at orientation meetings in high school.,en,0
Insister sur l’importance que l’information relative aux métiers non traditionnels soit offerte et accessible aux jeunes filles lors des rencontres d’orientation au secondaire.,fr,0
"In order to improve the ferry services offered in Quebec, increase funding to partner companies of the Société des transports.",en,0
"Dans le but d’améliorer l’offre de services des traversiers au Québec, augmenter le financement aux entreprises partenaires de la Société des transports.",fr,0
"When negotiating the next fiscal and financial partnership with the municipalities, a Liberal government will introduce the sharing of royalties related to mineral resources, oil and gas.",en,0
"Lors de la négociation de la prochaine entente de partenariat fiscal et financier avec les municipalités, un gouvernement libéral introduira un partage des redevances liées aux ressources minières, pétrolières et gazières.",fr,0
Accelerate the Turcot interchange project.,en,0
Accélérer le projet de l’échangeur Turcot.,fr,0
Adopt the single business account and one-stop access to government services.,en,0
Adopter le dossier et le guichet uniques des entreprises.,fr,0
"Improve the supply of ferry services, including recognizing the intermediate ferry services.",en,0
"Améliorer l’offre des services de traversiers, notamment en reconnaissant les services de traverse intermédiaires.",fr,0
Improve the new forest regime by reviewing the rules regarding work planning and operation of the Wood Marketing Bureau.,en,0
Améliorer le nouveau régime forestier en revoyant les règles entourant la planification des travaux et le fonctionnement du Bureau de mise en marché des bois.,fr,0
"Supportthe upgrading of the Port of Montreal, including the construction of a direct link between the port facilities and Highway 25.",en,0
"Appuyer la modernisation du port de Montréal, notamment par la construction d’un lien direct entre les installations portuaires et l’autoroute 25.",fr,0
"Support the development of cruise activities, both in terms of reception facilities and port infrastructure.",en,0
"Appuyer le développement des activités de croisière, autant au chapitre des infrastructures d’accueil que des infrastructures portuaires.",fr,0
Complete the East and West train projects.,en,0
