subcategory,Kappa,GPT-4.1 (L),GPT-5 (L),GPT-OSS (L),Gemma (L),Llama (L),Manual,Nemotron (L)
Indigenous Affairs,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Labor,0.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Housing,0.846,0.143,0.148,0.154,0.148,0.143,0.08,0.148
Environment,0.769,0.077,0.087,0.077,0.074,0.059,0.091,0.077
Technology,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Health,0.726,0.067,0.0,0.069,0.071,0.053,0.065,0.0
Immigration,0.71,0.0,0.333,0.4,0.333,0.4,0.0,0.286
Transportation,0.69,0.0,0.0,0.0,0.0,0.133,0.0,0.0
Macroeconomics,0.643,0.269,0.233,0.261,0.225,0.262,0.245,0.235
Rights Liberties Minorities Discrimination,0.635,0.133,0.167,0.114,0.125,0.207,0.0,0.154
Foreign Trade,0.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Social Welfare,0.586,0.133,0.0,0.133,0.087,0.0,0.0,0.111
International Affairs,0.553,0.045,0.14,0.098,0.053,0.045,0.157,0.044
Law And Crime,0.546,0.105,0.129,0.0,0.059,0.0,0.0,0.061
Energy,0.524,0.2,0.222,0.182,0.0,0.0,0.154,0.0
Governments Governance,0.448,0.222,0.152,0.157,0.158,0.163,0.158,0.156
Domestic Commerce,0.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Education,0.421,0.0,0.0,0.0,0.0,0.0,0.286,0.0
Agriculture,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Culture Nationalism,0.327,0.4,0.4,0.2,0.0,0.286,0.0,0.4
Defense,0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public Lands,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
