Section,Metric,Value,Fleiss_Kappa,Krippendorff_Alpha,Agreement_Level,Support_Consensus,Pct_Full_Agreement,Model,F1,Support,TP,FP,FN,Annotator
INTER-ANNOTATOR AGREEMENT PER THEME,,,,,,,,,,,,,,
Theme Agreement,indigenous_affairs,,1.0,1.0,Almost Perfect,0.0,100.0,,,,,,,
Theme Agreement,environment,,0.8224,0.8224,Almost Perfect,59.0,97.5,,,,,,,
Theme Agreement,housing,,0.818,0.818,Almost Perfect,65.0,97.2,,,,,,,
Theme Agreement,health,,0.7619,0.7619,Substantial,106.0,94.5,,,,,,,
Theme Agreement,foreign_trade,,0.7266,0.7266,Substantial,38.0,97.7,,,,,,,
Theme Agreement,immigration,,0.7238,0.7238,Substantial,19.0,98.7,,,,,,,
Theme Agreement,labor,,0.7225,0.7225,Substantial,57.0,96.5,,,,,,,
Theme Agreement,transportation,,0.6835,0.6835,Substantial,36.0,97.4,,,,,,,
Theme Agreement,law_and_crime,,0.6436,0.6436,Substantial,137.0,89.2,,,,,,,
Theme Agreement,rights_liberties_minorities_discrimination,,0.6217,0.6217,Substantial,49.0,95.5,,,,,,,
Theme Agreement,energy,,0.6168,0.6168,Substantial,44.0,96.8,,,,,,,
Theme Agreement,macroeconomics,,0.6115,0.6115,Substantial,156.0,87.9,,,,,,,
Theme Agreement,education,,0.6065,0.6065,Moderate,21.0,97.7,,,,,,,
Theme Agreement,international_affairs,,0.6058,0.6058,Moderate,180.0,85.9,,,,,,,
Theme Agreement,agriculture,,0.5597,0.5597,Moderate,14.0,98.1,,,,,,,
Theme Agreement,technology,,0.5411,0.5411,Moderate,25.0,96.6,,,,,,,
Theme Agreement,social_welfare,,0.5126,0.5126,Moderate,62.0,93.4,,,,,,,
Theme Agreement,defense,,0.4841,0.4841,Moderate,31.0,96.2,,,,,,,
Theme Agreement,governments_governance,,0.4219,0.4219,Moderate,226.0,76.0,,,,,,,
Theme Agreement,public_lands,,0.3807,0.3807,Fair,20.0,96.4,,,,,,,
Theme Agreement,culture_nationalism,,0.3391,0.3391,Fair,23.0,96.1,,,,,,,
Theme Agreement,domestic_commerce,,0.2679,0.2679,Fair,26.0,94.6,,,,,,,
,,,,,,,,,,,,,,
MODEL PERFORMANCE BY AGREEMENT LEVEL (Micro-F1),,,,,,,,,,,,,,
Model Performance,,,,,Overall,,,GPT-4.1,0.1309,219.0,32.0,238.0,187.0,
Model Performance,,,,,Almost Perfect,,,GPT-4.1,0.1111,25.0,3.0,26.0,22.0,
Model Performance,,,,,Substantial,,,GPT-4.1,0.1389,97.0,15.0,104.0,82.0,
Model Performance,,,,,Moderate,,,GPT-4.1,0.1354,86.0,13.0,93.0,73.0,
Model Performance,,,,,Fair,,,GPT-4.1,0.0741,11.0,1.0,15.0,10.0,
Model Performance,,,,,Overall,,,GPT-5,0.1224,219.0,27.0,195.0,192.0,
Model Performance,,,,,Almost Perfect,,,GPT-5,0.12,25.0,3.0,22.0,22.0,
Model Performance,,,,,Substantial,,,GPT-5,0.1347,97.0,13.0,83.0,84.0,
Model Performance,,,,,Moderate,,,GPT-5,0.1111,86.0,10.0,84.0,76.0,
