entity,category,f1,ci_lower,ci_upper,support,pct_human,pct_ci_lower,pct_ci_upper
Human,Overall,0.7883410514846091,0.7794661117912716,0.7969966478111277,5576,100.0,98.8742258599087,101.09795072960088
Human,Almost Perfect,0.8799171842650104,0.8581071930543762,0.9011964878013923,488,100.0,97.5213586459444,102.41833026072294
Human,Substantial,0.8284756254836214,0.8157683087727163,0.8410683778834154,1952,100.0,98.4661809810654,101.51999069283939
Human,Moderate,0.7611664820967147,0.7487263062213314,0.7739072918925343,2784,100.0,98.36564323732235,101.6738532365119
Human,Fair,0.6595744680851063,0.6202159080501878,0.6987029020362354,352,100.0,94.0327344463188,105.93237547000989
GPT-4.1 (L),Overall,0.130879345603272,0.08433312407948426,0.18372843643555645,219,16.601868614706685,10.697543140835753,23.305704566514436
GPT-4.1 (L),Almost Perfect,0.0975609756097561,0.0,0.23338235294117618,20,11.08751793400287,0.0,26.52321799307955
GPT-4.1 (L),Substantial,0.13756613756613756,0.0718562874251497,0.20513392857142854,83,16.604729618428244,8.673313398110379,24.760406010941107
GPT-4.1 (L),Moderate,0.1322314049586777,0.07468204187976454,0.19087231233496796,107,17.37220543322298,9.811525288665477,25.07628972431756
GPT-4.1 (L),Fair,0.11764705882352941,0.0,0.3479539641943727,9,17.836812144212523,0.0,52.75431070043716
GPT-5 (L),Overall,0.12244897959183675,0.07887921863443398,0.1689513795099363,219,15.532488047050197,10.00572258490004,21.43125480929427
GPT-5 (L),Almost Perfect,0.10000000000000002,0.0,0.23809523809523808,20,11.364705882352942,0.0,27.058823529411764
GPT-5 (L),Substantial,0.12941176470588234,0.0640923566878981,0.20225053504547885,83,15.620467365028201,7.736178919021822,24.412369999107145
GPT-5 (L),Moderate,0.12264150943396226,0.06697767145135565,0.18627866400797607,107,16.11231081748806,8.799345875932223,24.472788593482402
GPT-5 (L),Fair,0.10526315789473685,0.0,0.3,9,15.959252971137525,0.0,45.483870967741936
