Pipeline,Category,Precision,Recall,F1,Support,TP,FP,FN
gemma_large,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gemma_large,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gemma_large,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
gemma_small,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gemma_small,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gemma_small,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
gpt_4_1_large,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gpt_4_1_large,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gpt_4_1_large,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
gpt_4_1_small,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gpt_4_1_small,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gpt_4_1_small,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
gpt_5_large,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gpt_5_large,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gpt_5_large,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
gpt_5_small,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gpt_5_small,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gpt_5_small,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
gpt_oss_large,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,1,3
gpt_oss_large,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gpt_oss_large,specific_themes_welfare_state,0.04819277108433735,1.0,0.09195402298850576,12,12,237,0
gpt_oss_small,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
gpt_oss_small,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
gpt_oss_small,specific_themes_welfare_state,0.0,0.0,0.0,12,0,0,12
llama_large,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
llama_large,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
llama_large,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
llama_small,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
llama_small,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
llama_small,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
manual_manual,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
manual_manual,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
manual_manual,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
nemotron_large,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,4,3
nemotron_large,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
nemotron_large,specific_themes_welfare_state,0.04878048780487805,1.0,0.09302325581395349,12,12,234,0
nemotron_small,specific_themes_early_learning_childcare,0.0,0.0,0.0,3,0,0,3
nemotron_small,specific_themes_public_finance,0.0,0.0,0.0,10,0,0,10
nemotron_small,specific_themes_welfare_state,0.048,1.0,0.0916030534351145,12,12,238,0
