Pipeline,N_Samples,Overall_F1_Micro,Overall_F1_Macro,Overall_Precision,Overall_Recall,Overall_Jaccard,Overall_Subset_Acc,Themes_F1_Micro,Themes_F1_Macro,Themes_Precision,Themes_Recall,Parties_F1_Micro,Parties_F1_Macro,Parties_Precision,Parties_Recall,Specific_F1_Micro,Specific_F1_Macro,Sentiment_Accuracy,Sentiment_F1_Macro
gpt_4_1_large,250,0.12121212121212122,0.07430404092661383,0.09187279151943463,0.1780821917808219,0.058515873015873014,0.004,0.13061224489795917,0.0814667360300439,0.11808118081180811,0.1461187214611872,0.17204301075268819,0.07167701863354038,0.17777777777777778,0.16666666666666666,0.08727272727272727,0.030534351145038167,0.412,0.3402830188679245
gpt_5_large,250,0.11604938271604938,0.07995927585310257,0.09073359073359073,0.16095890410958905,0.05477301587301586,0.0,0.12244897959183675,0.09142733092144359,0.12162162162162163,0.1232876712328767,0.1702127659574468,0.06955703211517165,0.17391304347826086,0.16666666666666666,0.08727272727272727,0.030534351145038167,0.452,0.3460924914952
gpt_oss_large,250,0.11455847255369928,0.07333353076132236,0.08791208791208792,0.1643835616438356,0.055342857142857145,0.0,0.12366737739872069,0.08385935859370473,0.116,0.1324200913242009,0.14893617021276595,0.06298136645962733,0.15217391304347827,0.14583333333333334,0.08727272727272727,0.030651340996168588,0.424,0.35173012344195426
llama_large,250,0.1104847801578354,0.07243721053989642,0.08235294117647059,0.1678082191780822,0.053323809523809516,0.0,0.11262135922330097,0.07956392850098905,0.09797297297297297,0.1324200913242009,0.16494845360824742,0.06932928884395012,0.16326530612244897,0.16666666666666666,0.08727272727272727,0.030534351145038167,0.392,0.338417333100808
gemma_large,250,0.10785463071512309,0.06020852596050329,0.08199643493761141,0.15753424657534246,0.0525063492063492,0.0,0.10878661087866108,0.060557204644564995,0.10038610038610038,0.1187214611872146,0.16,0.06834368530020704,0.15384615384615385,0.16666666666666666,0.08727272727272727,0.030534351145038167,0.408,0.33601341601341606
nemotron_large,250,0.10727056019070322,0.07407991152144117,0.08226691042047532,0.1541095890410959,0.047195238095238096,0.0,0.1038961038961039,0.07590607055847698,0.09876543209876543,0.1095890410958904,0.17647058823529413,0.08298400951499935,0.16666666666666666,0.1875,0.08727272727272727,0.031007751937984496,0.436,0.3546147752030105
manual_manual,250,0.0945945945945946,0.037907578822936404,0.078125,0.11986301369863013,0.04426666666666666,0.0,0.11031175059952038,0.056143736607620905,0.11616161616161616,0.1050228310502283,0.0,0.0,0.0,0.0,0.08727272727272727,0.030534351145038167,0.42,0.3475836431226766
llama_small,250,0.04530744336569579,0.005567743636894962,0.04294478527607362,0.04794520547945205,0.01957142857142857,0.0,0.013559322033898305,0.00469399881164587,0.02631578947368421,0.0091324200913242,0.0,0.0,0.0,0.0,0.08727272727272727,0.030534351145038167,0.548,0.27202819467693073
gemma_small,250,0.04375,0.00434883182974786,0.040229885057471264,0.04794520547945205,0.020276190476190475,0.0,0.012618296529968454,0.0027548209366391185,0.02040816326530612,0.0091324200913242,0.0,0.0,0.0,0.0,0.08727272727272727,0.030534351145038167,0.476,0.28982841826878525
gpt_4_1_small,250,0.04363636363636363,0.0026172300981461287,0.046511627906976744,0.0410958904109589,0.01803809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08727272727272727,0.030534351145038167,0.548,0.2635534084809447
gpt_5_small,250,0.04308797127468582,0.0026172300981461287,0.045283018867924525,0.0410958904109589,0.01857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08727272727272727,0.030534351145038167,0.548,0.24386304909560721
nemotron_small,250,0.04240282685512367,0.0026172300981461287,0.043795620437956206,0.0410958904109589,0.01803809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08727272727272727,0.030534351145038167,0.552,0.27938712522045855
gpt_oss_small,250,0.03942652329749104,0.0044811115935736,0.041353383458646614,0.03767123287671233,0.12733333333333333,0.112,0.04536082474226804,0.007129041171594364,0.041353383458646614,0.0502283105022831,0.0,0.0,0.0,0.0,0.0,0.0,0.548,0.2360034453057709
