model,training_size,tp,fp,fn,precision,recall,micro_f1,n_samples,n_with_predictions
nemotron,small,792,498,383,0.6139534883720931,0.6740425531914893,0.6425963488843813,1300,797
llama,small,813,820,362,0.49785670545009186,0.6919148936170213,0.5790598290598291,1300,1104
gpt_oss,small,809,497,366,0.6194486983154671,0.6885106382978723,0.652156388553003,1300,932
gemma,small,828,551,347,0.6004350978970269,0.7046808510638298,0.6483946750195771,1300,953
gpt_4_1,small,885,523,290,0.6285511363636364,0.7531914893617021,0.6852497096399536,1300,843
gpt_5,small,817,398,358,0.6724279835390946,0.6953191489361702,0.6836820083682008,1300,791
nemotron,large,792,498,383,0.6139534883720931,0.6740425531914893,0.6425963488843813,1300,797
llama,large,813,820,362,0.49785670545009186,0.6919148936170213,0.5790598290598291,1300,1104
gpt_oss,large,809,497,366,0.6194486983154671,0.6885106382978723,0.652156388553003,1300,932
gemma,large,828,551,347,0.6004350978970269,0.7046808510638298,0.6483946750195771,1300,953
gpt_4_1,large,885,523,290,0.6285511363636364,0.7531914893617021,0.6852497096399536,1300,843
gpt_5,large,817,398,358,0.6724279835390946,0.6953191489361702,0.6836820083682008,1300,791
