model,training,n_themes,tp,fp,fn,precision,recall,f1,pct_human,status
gemma,Large,0,0,0,1394,0.0,0.0,0.0,0.0,ABSENT
gemma,Small,21,7,535,1387,0.012915129151291513,0.005021520803443328,0.007231404958677685,0.9172939738529987,PARTIEL (21/22)
gpt_4_1,Large,0,0,0,1394,0.0,0.0,0.0,0.0,ABSENT
gpt_4_1,Small,21,5,60,1389,0.07692307692307693,0.003586800573888092,0.006854009595613434,0.8694218806322361,PARTIEL (21/22)
gpt_5,Large,0,0,0,1394,0.0,0.0,0.0,0.0,ABSENT
gpt_5,Small,21,7,112,1387,0.058823529411764705,0.005021520803443328,0.009253139458030402,1.1737482705746236,PARTIEL (21/22)
gpt_oss,Large,2,1,81,1393,0.012195121951219513,0.0007173601147776184,0.0013550135501355014,0.1718816427970776,PARTIEL (2/22)
gpt_oss,Small,21,65,1573,1329,0.03968253968253968,0.046628407460545196,0.04287598944591029,5.438761480854757,PARTIEL (21/22)
llama,Large,22,185,1762,1209,0.09501797637390857,0.1327116212338594,0.11074528584256212,14.04789026703682,COMPLET
llama,Small,21,13,499,1381,0.025390625,0.009325681492109038,0.013641133263378805,1.730359371453476,PARTIEL (21/22)
nemotron,Large,22,146,1470,1248,0.09034653465346534,0.10473457675753228,0.09700996677740864,12.305583553554495,COMPLET
nemotron,Small,22,2,87,1392,0.02247191011235955,0.0014347202295552368,0.0026972353337828725,0.34214066725352194,COMPLET
