model,training,level,f1,precision,recall,tp,fp,fn
gemma,Small,Almost Perfect,0.0,0.0,0.0,0,0,124
gemma,Small,Substantial,0.0,0.0,0.0,0,32,642
gemma,Small,Moderate,0.008620689655172414,0.021897810218978103,0.005366726296958855,3,134,556
gemma,Small,Fair,0.018099547511312215,0.010723860589812333,0.057971014492753624,4,369,65
gpt_4_1,Small,Almost Perfect,0.0,0.0,0.0,0,1,124
gpt_4_1,Small,Substantial,0.01488095238095238,0.16666666666666666,0.00778816199376947,5,25,637
gpt_4_1,Small,Moderate,0.0,0.0,0.0,0,32,559
gpt_4_1,Small,Fair,0.0,0.0,0.0,0,2,69
gpt_5,Small,Almost Perfect,0.0,0.0,0.0,0,0,124
gpt_5,Small,Substantial,0.011869436201780416,0.125,0.006230529595015576,4,28,638
gpt_5,Small,Moderate,0.0035460992907801418,0.2,0.0017889087656529517,1,4,558
gpt_5,Small,Fair,0.026490066225165566,0.024390243902439025,0.028985507246376812,2,80,67
gpt_oss,Large,Almost Perfect,0.0,0.0,0.0,0,0,124
gpt_oss,Large,Substantial,0.0,0.0,0.0,0,39,642
gpt_oss,Large,Moderate,0.0033222591362126242,0.023255813953488372,0.0017889087656529517,1,42,558
gpt_oss,Large,Fair,0.0,0.0,0.0,0,0,69
gpt_oss,Small,Almost Perfect,0.0,0.0,0.0,0,1,124
gpt_oss,Small,Substantial,0.06853146853146852,0.06218274111675127,0.0763239875389408,49,739,593
gpt_oss,Small,Moderate,0.0,0.0,0.0,0,35,559
gpt_oss,Small,Fair,0.036240090600226496,0.019656019656019656,0.2318840579710145,16,798,53
llama,Large,Almost Perfect,0.08280254777070063,0.06842105263157895,0.10483870967741936,13,177,111
llama,Large,Substantial,0.12507817385866168,0.1044932079414838,0.1557632398753894,100,857,542
llama,Large,Moderate,0.1129032258064516,0.1027900146842878,0.1252236135957066,70,611,489
llama,Large,Fair,0.02127659574468085,0.01680672268907563,0.028985507246376812,2,117,67
llama,Small,Almost Perfect,0.0,0.0,0.0,0,19,124
llama,Small,Substantial,0.016646848989298454,0.035175879396984924,0.010903426791277258,7,192,635
llama,Small,Moderate,0.0068376068376068385,0.07692307692307693,0.0035778175313059034,2,24,557
llama,Small,Fair,0.02373887240356083,0.014925373134328358,0.057971014492753624,4,264,65
nemotron,Large,Almost Perfect,0.07457627118644068,0.06432748538011696,0.08870967741935484,11,160,113
nemotron,Large,Substantial,0.0925925925925926,0.08530183727034121,0.10124610591900311,65,697,577
nemotron,Large,Moderate,0.11538461538461539,0.11282051282051282,0.11806797853309481,66,519,493
nemotron,Large,Fair,0.04790419161676646,0.04081632653061224,0.057971014492753624,4,94,65
nemotron,Small,Almost Perfect,0.0,0.0,0.0,0,17,124
nemotron,Small,Substantial,0.00605143721633888,0.10526315789473684,0.003115264797507788,2,17,640
nemotron,Small,Moderate,0.0,0.0,0.0,0,7,559
nemotron,Small,Fair,0.0,0.0,0.0,0,46,69
